"18/4 Lazada giao nhưng 19/4 tôi mới khui hộp mở máy. Khởi động lên cài đặt nhưng đến bước “Đang kiểm tra cập nhật” thì cập nhật mãi không vào. Tôi đã vào bằng wifi khác, gắn sim, nhưng vẫn không cài đặt được.
Yêu cầu đổi máy mới khác nhe Lazada.
Thanks.",1
"Đã nhận được hàng, máy đẹp, giao hàng nhanh. Cảm ơn tiki",0
Tôi mua sản phẩm samsung Galaxy M10. Máy bị lỗi màn hình và máy bị đứng không khởi động được. Tôi gửi trả lại bên lazada và bên lazada không chấp nhận đổi trả hàng vì lí do không có hộp máy. Tôi vừa nhận hàng và chụp lại tất cả phụ kiện của máy kèm theo và hộp máy. Vậy tôi hỏi lí do tại sao máy tôi bị lỗi mà không được trả lại hàng. ,1
"Đặt Samsung Galaxy M10,giao hàng ngoài hộp M10, trong hộp A10, yêu cầu đổi trả ko giải quyết, lừa gạt khách hàng",1
"Hàng đẹp xài ngon so với giá tiền, nên mua cho em cháu trong nhà xài hay làm quà tặng cũng ok. Đối vs mình mua để check mail Zalo FB thì con này chạy tương đối ổn. Còn chơi game hay gì thì mình ko phải game thủ nên ko quan tâm lắm, mình thấy cấu hình vậy xài cho công việc là okie.",0
"Lúc mua cái màu đen nó nóng quá vs mau hết pin nên đổi trả lại, shop đề nghị đổi lại điện thoại khác nên gửi lại shop hôm nay nhận được điện thoại tuy hơi cũ nhưng cái này ổn hơn cái trước nhìu, shop làm ăn rất uy tín nói shop đổi đen mà shop lấy trắng nhưng hong sao hợp với ốp lưng điện thoại là đx rồi!",1
"shop rất uy tín, ban đầu lỗi xíu, yêu cầu đổi hàng, shop nhiệt tình. Cái sau rất là chim ưng",0
ok thiếu củ sạc,1
đống goi chắc chắn hàng đẹp hơn mong đợi chủ shop nhiệt tình noi chung sản phẩm chất lượng sẽ ủng hộ shop thêm nữa,0
"sản phẩm đúng như hình, rất ok, chất liệu tốt, rất ôm ngực, mình rất hài lòng. lần sau sẽ ủng hộ shop.",0
"hag chuan, rat ug y, cam on sh",0
"Đẹp  như hình, xài tốt",0
mặc rất thoải mái,0
"Giao hàng nhanh, sản phẩm ok",0
"SP tôt, giao hàng nhanh, giá hợp túi tiền, Shop dễ thương",0
"Quần siêu đẹp, giao hàng nhanh.",0
quân lot su dp giôg mâu nhưg hang ko tôt như jm đa mua chât liêu vai cưng ko miêm ko mat,1
doi size 38 nhe.e lay them cai mau trang nua.2 cai den voi mau da nay dep nhung e kg cai moc dc.cho e doi size lon 38 them 1 cai trang nua nha shop oi,0
giong hinh.nhung shop giao cho minh ao hon nho.,0
Giao hàng sai màu. Không có chính sách đổi trả cho dù mới nhận hàng chưa được 2 ngày. Lỗi của shop nhưng khách hàng muốn đổi thì phải chịu tiền ship,1
"Nhìn thì đẹp nhưng mặc hơi chật, bình thường vẫn mặc size 36 nhưng loại này 36 hơi nhỏ",1
Hàng chất lượng. Giao hàng nhanh.cho 5 sa0,0
nhàu sắc giống hình..nhưng mỏng quá.k độn tẹo nào,0
"Mới nhận hàng, hàng chất lượng, cùng kiểu nhưng màu đen kích cỡ nhỏ hơn màu trắng, hợp giá tiền.",0
dep lam vua qua toi kg dung sai muon dat cai khac xxxl giao cho toi,0
san pham kem chat luong. that te luon,1
áo đẹp và tốt,0
Sao NC một cặp mà giao co một cai ak,1
đẹp chat luong cung ổn nên mua,0
Mình mua lần 2 rồi. vẫn rất hài lòng. bình rất đẹp. giao đúng mẫu mình chọn. Mình sẽ ủng hộ tiếp. mua tặng bạn bè. Thanks shop nhiều 😘,0
